Date,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-01,169.82,170.47,169.05,169.86,14051379.0
2017-08-02,170.3,170.55,166.91,169.25,17061845.0
2017-08-03,169.3,169.7,168.25,168.59,10316246.0
2017-08-04,168.97,170.06,168.69,169.62,10360774.0
2017-08-07,169.95,172.06,169.66,171.98,12504157.0
2017-08-08,171.88,173.05,170.62,171.23,13813683.0
2017-08-09,169.98,171.45,169.56,171.18,10597084.0
2017-08-10,170.06,170.59,166.85,167.4,20353485.0
2017-08-11,167.95,168.82,166.85,168.08,13664032.0
2017-08-14,170.09,171.08,169.29,170.75,12786286.0
2017-08-15,171.49,171.5,170.01,171.0,8621787.0
2017-08-16,171.25,171.38,169.24,170.0,15580549.0
2017-08-17,169.34,169.86,166.85,166.91,16791591.0
2017-08-18,166.84,168.67,166.21,167.41,14933261.0
2017-08-21,167.16,168.0,165.82,167.78,11880823.0
2017-08-22,168.28,169.87,167.15,169.64,11333260.0
2017-08-23,168.84,169.36,168.2,168.71,9756817.0
2017-08-24,168.88,169.29,166.41,167.74,13552865.0
2017-08-25,167.86,168.38,166.18,166.32,12391910.0
2017-08-28,166.91,167.7,166.33,167.24,8360380.0
2017-08-29,165.25,168.425,165.0,168.05,10992617.0
2017-08-30,168.17,170.18,167.63,169.92,10850005.0
2017-08-31,170.4,172.145,170.06,172.0,16873901.0
2017-09-01,172.4,172.915,171.31,172.02,11614185.0
2017-09-05,171.27,172.3875,169.55,170.72,13175866.0
2017-09-06,170.91,172.48,169.57,172.09,13659317.0
2017-09-07,171.94,173.3067,170.27,173.21,17922494.0
2017-09-08,173.09,173.49,170.8,170.95,10936358.0
2017-09-11,172.4,173.89,172.2,173.51,12183568.0
2017-09-12,173.76,174.0,171.75,172.96,11051768.0
2017-09-13,173.01,173.17,172.06,173.05,8908633.0
2017-09-14,172.26,172.28,170.5,170.96,15496424.0
2017-09-15,170.88,172.34,170.26,171.58,15468473.0
2017-09-18,171.99,172.07,169.34,170.01,12785437.0
2017-09-19,170.62,172.56,170.36,172.52,12911661.0
2017-09-20,172.5,173.05,170.7,172.17,11899057.0
2017-09-21,171.69,172.27,170.01,171.11,11054545.0
2017-09-22,170.21,171.73,169.22,170.54,11835708.0
2017-09-25,169.24,169.3,161.56,162.87,40538994.0
2017-09-26,164.5,165.5,162.78,164.21,22866403.0
2017-09-27,165.9,168.34,165.57,167.68,18963276.0
2017-09-28,167.94,169.0696,167.16,168.73,12084865.0
2017-09-29,168.83,171.66,168.81,170.81,15114619.0
2017-10-02,171.39,171.87,168.75,169.47,13104304.0
2017-10-03,169.3,170.73,169.2,169.96,8054219.0
2017-10-04,169.83,170.67,168.29,168.42,11829323.0
2017-10-05,169.18,171.31,168.6,171.24,14013869.0
2017-10-06,170.25,172.37,169.75,172.23,12670089.0
2017-10-09,172.7,174.88,172.0,172.5,14472612.0
2017-10-10,173.0,173.2,170.8,171.59,11231234.0
2017-10-11,171.95,172.78,171.4,172.74,11023310.0
2017-10-12,172.61,173.85,172.29,172.55,10312488.0
2017-10-13,173.45,174.65,173.2,173.74,13305724.0
2017-10-16,174.49,175.0,174.06,174.52,11225293.0
2017-10-17,174.71,176.13,174.36,176.11,15381990.0
2017-10-18,176.65,176.74,175.75,176.03,12655492.0
2017-10-19,174.93,176.03,172.63,174.56,13602869.0
2017-10-20,175.5,175.88,174.63,174.98,11861307.0
2017-10-23,175.2,175.34,171.25,171.27,13622072.0
2017-10-24,172.3,173.24,171.5,171.8,11629341.0
2017-10-25,171.9,172.25,168.89,170.6,15095603.0
2017-10-26,171.38,172.285,170.39,170.63,10932929.0
2017-10-27,174.15,178.21,173.9,177.88,29867490.0
2017-10-30,179.26,180.69,177.61,179.87,24179258.0
2017-10-31,180.57,180.8,178.94,180.06,19766043.0
2017-11-01,182.36,182.9,180.57,182.66,28922959.0
2017-11-02,180.63,181.94,177.34,178.92,35119841.0
2017-11-03,179.29,179.86,176.71,178.92,17572587.0
