Date,Adj. Close,Forecast
2017-08-01,169.86,
2017-08-02,169.25,
2017-08-03,168.59,
2017-08-04,169.62,
2017-08-07,171.98,
2017-08-08,171.23,
2017-08-09,171.18,
2017-08-10,167.4,
2017-08-11,168.08,
2017-08-14,170.75,
2017-08-15,171.0,
2017-08-16,170.0,
2017-08-17,166.91,
2017-08-18,167.41,
2017-08-21,167.78,
2017-08-22,169.64,
2017-08-23,168.71,
2017-08-24,167.74,
2017-08-25,166.32,
2017-08-28,167.24,
2017-08-29,168.05,
2017-08-30,169.92,
2017-08-31,172.0,
2017-09-01,172.02,
2017-09-05,170.72,
2017-09-06,172.09,
2017-09-07,173.21,
2017-09-08,170.95,
2017-09-11,173.51,
2017-09-12,172.96,
2017-09-13,173.05,
2017-09-14,170.96,
2017-09-15,171.58,
2017-09-18,170.01,
2017-09-19,172.52,
2017-09-20,172.17,
2017-09-21,171.11,
2017-09-22,170.54,
2017-09-25,162.87,
2017-09-26,164.21,
2017-09-27,167.68,
2017-09-28,168.73,
2017-09-29,170.81,
2017-10-02,169.47,
2017-10-03,169.96,
2017-10-04,168.42,
2017-10-05,171.24,
2017-10-06,172.23,
2017-10-09,172.5,
2017-10-10,171.59,
2017-10-11,172.74,
2017-10-12,172.55,
2017-10-13,173.74,
2017-10-16,174.52,
2017-10-17,176.11,
2017-10-18,176.03,
2017-10-19,174.56,
2017-10-20,174.98,
2017-10-23,171.27,
2017-10-24,171.8,
2017-10-25,170.6,
2017-10-26,170.63,
2017-10-27,177.88,
2017-10-30,179.87,
2017-10-31,180.06,
2017-11-01,182.66,
2017-11-02,178.92,
2017-11-03,,177.65633538106144
